id,name,image
1369,Sticker | Team EnVyUs | Cologne 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2016/nv_large.d81a927a5c1293abd58240fb58fce9526106c00a.png
1370,Sticker | Team EnVyUs (Holo) | Cologne 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2016/nv_holo_large.e33569b4134fac6fbd64b383d37a7f7c0eabdf33.png
1371,Sticker | Team EnVyUs (Foil) | Cologne 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2016/nv_foil_large.e4e79c0def348c26ece365945217bec9802a7643.png
1372,Sticker | Team EnVyUs (Gold) | Cologne 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2016/nv_gold_large.e3c86b97abf969b02e1f01d3c0a4f3ced8e7a358.png
1742,Sticker | Team EnVyUs | Atlanta 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/atlanta2017/nv_large.17f841b7a988cd434d5465aa6fce5759efce7df9.png
1743,Sticker | Team EnVyUs (Holo) | Atlanta 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/atlanta2017/nv_holo_large.da4d20337036ca8263c9b37c8743aa0291230cce.png
1744,Sticker | Team EnVyUs (Foil) | Atlanta 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/atlanta2017/nv_foil_large.cc7966c2ff116642a6563c16be8f5aa61038964d.png
1745,Sticker | Team EnVyUs (Gold) | Atlanta 2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/atlanta2017/nv_gold_large.ea768b2b79f156ff02c5ca17125dd81abe3f8b85.png
2516,Sticker | Team EnVyUs | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/nv_large.0c75c71dfd1775a96342f506cb5f6fe7dcc2284c.png
2517,Sticker | Team EnVyUs (Holo) | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/nv_holo_large.69594e893e43a93903d6154e5fc4fcba9ab08c6f.png
2518,Sticker | Team EnVyUs (Foil) | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/nv_foil_large.15c46597cd25e43c85d994c84e2341da93aa62a9.png
2519,Sticker | Team EnVyUs (Gold) | Boston 2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/boston2018/nv_gold_large.474007ec3e929f862742a38acb698ba5c569e93e.png
4753,Sticker | Nemiga | 2020 RMR,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rmr2020/nemi_large.69b54e149469981a9ac3545d0ed5b3b605f1a80e.png
4754,Sticker | Nemiga (Holo) | 2020 RMR,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rmr2020/nemi_holo_large.c6d49084b3b413d4a0c451fee4f1b05a3017dccf.png
4755,Sticker | Nemiga (Foil) | 2020 RMR,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rmr2020/nemi_foil_large.5e779f4a317925fbe0a47e638940a8776216357a.png
4756,Sticker | Nemiga (Gold) | 2020 RMR,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rmr2020/nemi_gold_large.8d7441adc307aaabadac65384128870deff227ba.png
1231,Sticker | Professor_Chaos | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_professorchaos_large.4fead5c5bb087235bb8599b9ec4d43c1ea16713f.png
1232,Sticker | Professor_Chaos (Foil) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_professorchaos_foil_large.3dccb4a506478f614fece99adc9120f0b75f97ab.png
1233,Sticker | Professor_Chaos (Gold) | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_professorchaos_gold_large.a0cbe065402f4364997b53f7fccb52ac0876674a.png
461,Sticker | dupreeh | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_dupreeh_large.9c3a81f4be0e28abcade30d3076d11ee6c098878.png
462,Sticker | dupreeh (Foil) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_dupreeh_foil_large.b75cd33c1e42e2f677d1b0cdb3b7caac5a343917.png
463,Sticker | dupreeh (Gold) | Cologne 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cologne2015/sig_dupreeh_gold_large.0ce96275683c92f96b46422dea4ff8cc43c1eb33.png
872,Sticker | dupreeh | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/sig_dupreeh_large.4d3ff91abac03c595b608562078be8e0e8b46991.png
873,Sticker | dupreeh (Foil) | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/sig_dupreeh_foil_large.87234de35a2db6ba4caa607774d32ea6e2f22c1c.png
874,Sticker | dupreeh (Gold) | Cluj-Napoca 2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/cluj2015/sig_dupreeh_gold_large.1fc71773c65f130d4c8934fc133e01a32f38e341.png
1276,Sticker | dupreeh | MLG Columbus 2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/columbus2016/sig_dupreeh_large.8054c7627d7baaf2b7a53db1cca1a5e776e01034.png
